odor,mouse_id,bootstrap,MI_noisy,MI_denoised
Gerinol,1,11,1.13093,2.39524
Gerinol,1,12,1.31509,2.47443
Gerinol,1,13,1.25019,2.42911
Gerinol,1,14,1.16761,2.44225
n Methyl Piperdine,0,0,1.48695,2.63921
n Methyl Piperdine,0,1,1.57615,2.65065
n Methyl Piperdine,0,2,1.51397,2.59154
n Methyl Piperdine,0,3,1.49423,2.52780
n Methyl Piperdine,0,4,1.47445,2.54867
n Methyl Piperdine,0,5,1.48333,2.64931
n Methyl Piperdine,0,6,1.62867,2.53433
n Methyl Piperdine,0,7,1.39379,2.55920
n Methyl Piperdine,0,8,1.70849,2.44730
n Methyl Piperdine,0,9,1.54348,2.55022
n Methyl Piperdine,0,10,1.55133,2.47991
n Methyl Piperdine,0,11,1.61027,2.52704
n Methyl Piperdine,0,12,1.53350,2.55893
n Methyl Piperdine,0,13,1.50772,2.48405
n Methyl Piperdine,0,14,1.53654,2.48757
n Methyl Piperdine,1,0,1.55694,2.65397
n Methyl Piperdine,1,1,1.58968,2.49794
n Methyl Piperdine,1,2,1.73239,2.59382
n Methyl Piperdine,1,3,1.61334,2.52897
n Methyl Piperdine,1,4,1.59041,2.58420
n Methyl Piperdine,1,5,1.71999,2.62967
n Methyl Piperdine,1,6,1.71054,2.63488
n Methyl Piperdine,1,7,1.68697,2.55011
n Methyl Piperdine,1,8,1.72870,2.64040
n Methyl Piperdine,1,9,1.65391,2.67418
n Methyl Piperdine,1,10,1.68106,2.63321
n Methyl Piperdine,1,11,1.70071,2.48765
n Methyl Piperdine,1,12,1.60005,2.62748
n Methyl Piperdine,1,13,1.60621,2.54360
n Methyl Piperdine,1,14,1.74972,2.55324
"2,4 Dimethyl Acetophenone",0,0,2.25787,2.73099
"2,4 Dimethyl Acetophenone",0,1,2.35402,2.67635
"2,4 Dimethyl Acetophenone",0,2,2.35624,2.81012
"2,4 Dimethyl Acetophenone",0,3,2.25878,2.75313
"2,4 Dimethyl Acetophenone",0,4,2.28137,2.72136
"2,4 Dimethyl Acetophenone",0,5,2.35199,2.71662
"2,4 Dimethyl Acetophenone",0,6,2.25740,2.75740
"2,4 Dimethyl Acetophenone",0,7,2.37806,2.60713
"2,4 Dimethyl Acetophenone",0,8,2.35869,2.72738
"2,4 Dimethyl Acetophenone",0,9,2.30618,2.63200
"2,4 Dimethyl Acetophenone",0,10,2.36589,2.71459
"2,4 Dimethyl Acetophenone",0,11,2.27815,2.75958
"2,4 Dimethyl Acetophenone",0,12,2.27406,2.74863
"2,4 Dimethyl Acetophenone",0,13,2.33480,2.69619
"2,4 Dimethyl Acetophenone",0,14,2.37061,2.63428
"2,4 Dimethyl Acetophenone",1,0,1.93544,2.80751
"2,4 Dimethyl Acetophenone",1,1,2.12518,2.81551
"2,4 Dimethyl Acetophenone",1,2,2.10468,2.77680
"2,4 Dimethyl Acetophenone",1,3,2.02922,2.76941
"2,4 Dimethyl Acetophenone",1,4,2.04758,2.88776
"2,4 Dimethyl Acetophenone",1,5,2.04970,2.77381
"2,4 Dimethyl Acetophenone",1,6,2.08233,2.86307
"2,4 Dimethyl Acetophenone",1,7,1.93714,2.74928
"2,4 Dimethyl Acetophenone",1,8,2.03041,2.78715
"2,4 Dimethyl Acetophenone",1,9,2.08265,2.76170
"2,4 Dimethyl Acetophenone",1,10,2.07904,2.85000
"2,4 Dimethyl Acetophenone",1,11,2.01233,2.73969
"2,4 Dimethyl Acetophenone",1,12,2.07534,2.83207
"2,4 Dimethyl Acetophenone",1,13,2.01825,2.77180
"2,4 Dimethyl Acetophenone",1,14,2.20061,2.80552
4 Heptanone,0,0,2.22626,2.74701
4 Heptanone,0,1,2.19958,2.70730
4 Heptanone,0,2,2.21538,2.70475
4 Heptanone,0,3,2.19184,2.68315
4 Heptanone,0,4,2.33471,2.69999
4 Heptanone,0,5,2.33964,2.69065
4 Heptanone,0,6,2.32294,2.70125
4 Heptanone,0,7,2.21278,2.72329
4 Heptanone,0,8,2.11248,2.70833
4 Heptanone,0,9,2.22065,2.74224
4 Heptanone,0,10,2.39209,2.68306
4 Heptanone,0,11,2.34208,2.74617
4 Heptanone,0,12,2.26548,2.72289
4 Heptanone,0,13,2.20899,2.73758
4 Heptanone,0,14,2.30579,2.70806
4 Heptanone,1,0,2.10970,2.68122
4 Heptanone,1,1,2.19085,2.71364
4 Heptanone,1,2,2.15563,2.68380
4 Heptanone,1,3,2.13703,2.66388
4 Heptanone,1,4,2.22957,2.69829
4 Heptanone,1,5,2.07655,2.74187
4 Heptanone,1,6,2.18058,2.67946
4 Heptanone,1,7,2.07377,2.65999
4 Heptanone,1,8,2.17322,2.66672
4 Heptanone,1,9,2.12783,2.64932
4 Heptanone,1,10,2.15729,2.69966
4 Heptanone,1,11,2.24415,2.63088
4 Heptanone,1,12,2.15060,2.70759
4 Heptanone,1,13,2.08117,2.70190
4 Heptanone,1,14,2.17135,2.73668
33 Dimethyl Butyric Acid,0,0,1.27199,2.36849
33 Dimethyl Butyric Acid,0,1,1.14442,2.31682
33 Dimethyl Butyric Acid,0,2,1.32334,2.31834
33 Dimethyl Butyric Acid,0,3,1.20782,2.39032
33 Dimethyl Butyric Acid,0,4,1.20771,2.30925
33 Dimethyl Butyric Acid,0,5,1.15864,2.34325
33 Dimethyl Butyric Acid,0,6,1.18810,2.33752
33 Dimethyl Butyric Acid,0,7,1.22705,2.34437
