epoch,odor_id,odor_name,mouse_id,trial,R_local
0,3,Gerinol,0,11,0.25512343301463053
0,3,Gerinol,0,12,0.2567522749752485
0,3,Gerinol,0,13,0.3023199106259954
0,3,Gerinol,0,14,0.281356857452961
0,3,Gerinol,1,0,0.25576400340810124
0,3,Gerinol,1,1,0.30002127669090334
0,3,Gerinol,1,2,0.19393863886920681
0,3,Gerinol,1,3,0.21589909973213095
0,3,Gerinol,1,4,0.20442612338589988
0,3,Gerinol,1,5,0.22589676891589014
0,3,Gerinol,1,6,0.1864217151398685
0,3,Gerinol,1,7,0.26689519891469704
0,3,Gerinol,1,8,0.23260025315816993
0,3,Gerinol,1,9,0.18265690926201456
0,3,Gerinol,1,10,0.2008659977938192
0,3,Gerinol,1,11,0.25402971494012866
0,3,Gerinol,1,12,0.2750142237578961
0,3,Gerinol,1,13,0.3213583967097923
0,3,Gerinol,1,14,0.35804365968241403
0,4,n Methyl Piperdine,0,0,0.2907794534011535
0,4,n Methyl Piperdine,0,1,0.2346215512688391
0,4,n Methyl Piperdine,0,2,0.1889212248408613
0,4,n Methyl Piperdine,0,3,0.2849115345638671
0,4,n Methyl Piperdine,0,4,0.24168543225770064
0,4,n Methyl Piperdine,0,5,0.25758878566292626
0,4,n Methyl Piperdine,0,6,0.24971920410772136
0,4,n Methyl Piperdine,0,7,0.2685714406134583
0,4,n Methyl Piperdine,0,8,0.3168422853016194
0,4,n Methyl Piperdine,0,9,0.2804850187679275
0,4,n Methyl Piperdine,0,10,0.2678576825885661
0,4,n Methyl Piperdine,0,11,0.23277692595708122
0,4,n Methyl Piperdine,0,12,0.2072157582819394
0,4,n Methyl Piperdine,0,13,0.2547507597071804
0,4,n Methyl Piperdine,0,14,0.27205177403738084
0,4,n Methyl Piperdine,1,0,0.3097771293803089
0,4,n Methyl Piperdine,1,1,0.24427091369602902
0,4,n Methyl Piperdine,1,2,0.2783695132780359
0,4,n Methyl Piperdine,1,3,0.2190881088955475
0,4,n Methyl Piperdine,1,4,0.1916621821804326
0,4,n Methyl Piperdine,1,5,0.20045526234781869
0,4,n Methyl Piperdine,1,6,0.21005089025568346
0,4,n Methyl Piperdine,1,7,0.32419872213452017
0,4,n Methyl Piperdine,1,8,0.20620446566813813
0,4,n Methyl Piperdine,1,9,0.2725995009865674
0,4,n Methyl Piperdine,1,10,0.20294284571363252
0,4,n Methyl Piperdine,1,11,0.27632285335208334
0,4,n Methyl Piperdine,1,12,0.2544579714813481
0,4,n Methyl Piperdine,1,13,0.23279441693078995
0,4,n Methyl Piperdine,1,14,0.2374294317916962
0,5,"2,4 Dimethyl Acetophenone",0,0,0.2240110526579742
0,5,"2,4 Dimethyl Acetophenone",0,1,0.268045448534433
0,5,"2,4 Dimethyl Acetophenone",0,2,0.23200322126151862
0,5,"2,4 Dimethyl Acetophenone",0,3,0.2011783299244599
0,5,"2,4 Dimethyl Acetophenone",0,4,0.19908505750236505
0,5,"2,4 Dimethyl Acetophenone",0,5,0.2571060771840346
0,5,"2,4 Dimethyl Acetophenone",0,6,0.31336621073156723
0,5,"2,4 Dimethyl Acetophenone",0,7,0.2566022250180873
0,5,"2,4 Dimethyl Acetophenone",0,8,0.2454570274307545
0,5,"2,4 Dimethyl Acetophenone",0,9,0.2616356060592515
0,5,"2,4 Dimethyl Acetophenone",0,10,0.3024426301434228
0,5,"2,4 Dimethyl Acetophenone",0,11,0.25897786052970406
0,5,"2,4 Dimethyl Acetophenone",0,12,0.23376547124180033
0,5,"2,4 Dimethyl Acetophenone",0,13,0.29445410887754536
0,5,"2,4 Dimethyl Acetophenone",0,14,0.2673528180136143
0,5,"2,4 Dimethyl Acetophenone",1,0,0.3103301512565658
0,5,"2,4 Dimethyl Acetophenone",1,1,0.25622928906560244
0,5,"2,4 Dimethyl Acetophenone",1,2,0.19992115030790616
0,5,"2,4 Dimethyl Acetophenone",1,3,0.19417354360689956
0,5,"2,4 Dimethyl Acetophenone",1,4,0.31493702886597613
0,5,"2,4 Dimethyl Acetophenone",1,5,0.31784654040805804
0,5,"2,4 Dimethyl Acetophenone",1,6,0.24171914304542214
0,5,"2,4 Dimethyl Acetophenone",1,7,0.23357241873128665
0,5,"2,4 Dimethyl Acetophenone",1,8,0.30735768326641427
0,5,"2,4 Dimethyl Acetophenone",1,9,0.20461808429498665
0,5,"2,4 Dimethyl Acetophenone",1,10,0.2131108308184931
0,5,"2,4 Dimethyl Acetophenone",1,11,0.27463298336428793
0,5,"2,4 Dimethyl Acetophenone",1,12,0.23311570666234258
0,5,"2,4 Dimethyl Acetophenone",1,13,0.24869503690792333
0,5,"2,4 Dimethyl Acetophenone",1,14,0.24236219563574565
0,6,4 Heptanone,0,0,0.25650922234775075
0,6,4 Heptanone,0,1,0.29930551484834206
0,6,4 Heptanone,0,2,0.24662963667186322
0,6,4 Heptanone,0,3,0.26876379212686774
0,6,4 Heptanone,0,4,0.16099935635455248
0,6,4 Heptanone,0,5,0.2410575043185887
0,6,4 Heptanone,0,6,0.20927702958407857
0,6,4 Heptanone,0,7,0.19425371797884827
0,6,4 Heptanone,0,8,0.20788014571864336
0,6,4 Heptanone,0,9,0.2296413027677609
0,6,4 Heptanone,0,10,0.2796423420900339
0,6,4 Heptanone,0,11,0.18995053168621084
0,6,4 Heptanone,0,12,0.2442315000995701
0,6,4 Heptanone,0,13,0.22363946306245025
0,6,4 Heptanone,0,14,0.22989931662131496
0,6,4 Heptanone,1,0,0.27557767870396854
0,6,4 Heptanone,1,1,0.25699198317194144
0,6,4 Heptanone,1,2,0.2889632899894941
0,6,4 Heptanone,1,3,0.22928713852178836
0,6,4 Heptanone,1,4,0.20762966122495627
0,6,4 Heptanone,1,5,0.2265130130165644
0,6,4 Heptanone,1,6,0.24516723734263324
0,6,4 Heptanone,1,7,0.2425303000299328
0,6,4 Heptanone,1,8,0.19209184280244973
0,6,4 Heptanone,1,9,0.23908695695689935
0,6,4 Heptanone,1,10,0.2445964988973406
0,6,4 Heptanone,1,11,0.3361663271931412
0,6,4 Heptanone,1,12,0.31054115014305117
0,6,4 Heptanone,1,13,0.20133763166943158
0,6,4 Heptanone,1,14,0.22397203122981735
0,7,33 Dimethyl Butyric Acid,0,0,0.2313639118317156
0,7,33 Dimethyl Butyric Acid,0,1,0.26627331134665627
0,7,33 Dimethyl Butyric Acid,0,2,0.30252579204880936
0,7,33 Dimethyl Butyric Acid,0,3,0.33813573674072506
0,7,33 Dimethyl Butyric Acid,0,4,0.26073823839545135
0,7,33 Dimethyl Butyric Acid,0,5,0.26373573430248387
0,7,33 Dimethyl Butyric Acid,0,6,0.2040100307156495
