epoch,odor_id,odor_name,mouse_id,trial,R_global
0,3,Gerinol,0,11,0.06924050715908558
0,3,Gerinol,0,12,0.0699352316219258
0,3,Gerinol,0,13,0.08937048191984542
0,3,Gerinol,0,14,0.08042943901498181
0,3,Gerinol,1,0,0.06569359121158833
0,3,Gerinol,1,1,0.08456995316170832
0,3,Gerinol,1,2,0.03932418631678242
0,3,Gerinol,1,3,0.048690637909747675
0,3,Gerinol,1,4,0.043797248911904035
0,3,Gerinol,1,5,0.052954787238701784
0,3,Gerinol,1,6,0.03611811051180115
0,3,Gerinol,1,7,0.0704412057782928
0,3,Gerinol,1,8,0.05581391943321432
0,3,Gerinol,1,9,0.03451236679667882
0,3,Gerinol,1,10,0.04227880427491565
0,3,Gerinol,1,11,0.06495389230067304
0,3,Gerinol,1,12,0.07390408634580838
0,3,Gerinol,1,13,0.09367054094252425
0,3,Gerinol,1,14,0.10931733187068643
0,4,n Methyl Piperdine,0,0,0.14111066037097408
0,4,n Methyl Piperdine,0,1,0.1298790799445112
0,4,n Methyl Piperdine,0,2,0.12073901465891565
0,4,n Methyl Piperdine,0,3,0.1399370766035168
0,4,n Methyl Piperdine,0,4,0.1312918561422835
0,4,n Methyl Piperdine,0,5,0.13447252682332864
0,4,n Methyl Piperdine,0,6,0.13289861051228766
0,4,n Methyl Piperdine,0,7,0.13666905781343505
0,4,n Methyl Piperdine,0,8,0.14632322675106726
0,4,n Methyl Piperdine,0,9,0.13905177344432887
0,4,n Methyl Piperdine,0,10,0.13652630620845663
0,4,n Methyl Piperdine,0,11,0.12951015488215964
0,4,n Methyl Piperdine,0,12,0.12439792134713126
0,4,n Methyl Piperdine,0,13,0.13390492163217949
0,4,n Methyl Piperdine,0,14,0.13736512449821955
0,4,n Methyl Piperdine,1,0,0.13487528232597368
0,4,n Methyl Piperdine,1,1,0.1217740391891177
0,4,n Methyl Piperdine,1,2,0.12859375910551907
0,4,n Methyl Piperdine,1,3,0.11673747822902139
0,4,n Methyl Piperdine,1,4,0.11125229288599842
0,4,n Methyl Piperdine,1,5,0.11301090891947563
0,4,n Methyl Piperdine,1,6,0.11493003450104858
0,4,n Methyl Piperdine,1,7,0.13775960087681594
0,4,n Methyl Piperdine,1,8,0.11416074958353951
0,4,n Methyl Piperdine,1,9,0.12743975664722537
0,4,n Methyl Piperdine,1,10,0.11350842559263839
0,4,n Methyl Piperdine,1,11,0.12818442712032857
0,4,n Methyl Piperdine,1,12,0.12381145074618151
0,4,n Methyl Piperdine,1,13,0.11947873983606988
0,4,n Methyl Piperdine,1,14,0.12040574280825113
0,5,"2,4 Dimethyl Acetophenone",0,0,0.19496120039377385
0,5,"2,4 Dimethyl Acetophenone",0,1,0.2104846117639727
0,5,"2,4 Dimethyl Acetophenone",0,2,0.1977786733828636
0,5,"2,4 Dimethyl Acetophenone",0,3,0.18691199838613323
0,5,"2,4 Dimethyl Acetophenone",0,4,0.1861740586853312
0,5,"2,4 Dimethyl Acetophenone",0,5,0.20662816368006956
0,5,"2,4 Dimethyl Acetophenone",0,6,0.22646150485388533
0,5,"2,4 Dimethyl Acetophenone",0,7,0.20645054106742583
0,5,"2,4 Dimethyl Acetophenone",0,8,0.20252153322011235
0,5,"2,4 Dimethyl Acetophenone",0,9,0.20822495497568438
0,5,"2,4 Dimethyl Acetophenone",0,10,0.22261062347513252
0,5,"2,4 Dimethyl Acetophenone",0,11,0.20728802200882315
0,5,"2,4 Dimethyl Acetophenone",0,12,0.19839991799940807
0,5,"2,4 Dimethyl Acetophenone",0,13,0.2197944362791571
0,5,"2,4 Dimethyl Acetophenone",0,14,0.21024043926453867
0,5,"2,4 Dimethyl Acetophenone",1,0,0.2244044010464526
0,5,"2,4 Dimethyl Acetophenone",1,1,0.20533226612653777
0,5,"2,4 Dimethyl Acetophenone",1,2,0.18548200171327586
0,5,"2,4 Dimethyl Acetophenone",1,3,0.1834558023879994
0,5,"2,4 Dimethyl Acetophenone",1,4,0.22602846003124422
0,5,"2,4 Dimethyl Acetophenone",1,5,0.22705414787491973
0,5,"2,4 Dimethyl Acetophenone",1,6,0.2002170156222534
0,5,"2,4 Dimethyl Acetophenone",1,7,0.19734505722857565
0,5,"2,4 Dimethyl Acetophenone",1,8,0.2233565192150468
0,5,"2,4 Dimethyl Acetophenone",1,9,0.18713780820292725
0,5,"2,4 Dimethyl Acetophenone",1,10,0.19013174953726716
0,5,"2,4 Dimethyl Acetophenone",1,11,0.21182010618073982
0,5,"2,4 Dimethyl Acetophenone",1,12,0.19718405287770766
0,5,"2,4 Dimethyl Acetophenone",1,13,0.20267622206637645
0,5,"2,4 Dimethyl Acetophenone",1,14,0.20044371045236464
0,6,4 Heptanone,0,0,0.14166784434410523
0,6,4 Heptanone,0,1,0.16627314224680984
0,6,4 Heptanone,0,2,0.13598767593449015
0,6,4 Heptanone,0,3,0.14871348597487238
0,6,4 Heptanone,0,4,0.08675540758623496
0,6,4 Heptanone,0,5,0.13278403448578932
0,6,4 Heptanone,0,6,0.11451217020405992
0,6,4 Heptanone,0,7,0.10587466831001752
0,6,4 Heptanone,0,8,0.11370904587631496
0,6,4 Heptanone,0,9,0.12622040423507183
0,6,4 Heptanone,0,10,0.15496799885328263
0,6,4 Heptanone,0,11,0.10340059463506737
0,6,4 Heptanone,0,12,0.13460889143413118
0,6,4 Heptanone,0,13,0.12276970686656943
0,6,4 Heptanone,0,14,0.12636874670491624
0,6,4 Heptanone,1,0,0.15939723454388893
0,6,4 Heptanone,1,1,0.14871157584370656
